Cd_AnoExecucao;Cd_Exercicio;Cd_Dotacao_Id;Administracao;Cd_Orgao;Sigla_Orgao;Ds_Orgao;Cd_Funcao;Ds_Funcao;Cd_SubFuncao;Ds_SubFuncao;Cd_Programa;Ds_Programa;ProjetoAtividade;Ds_Projeto_Atividade;Vl_Orcado_Ano;Vl_Suplementado;Vl_Reduzido;Vl_SuplementadoLiquido;Vl_Orcado_Atualizado;Vl_ReservadoLiquido;Vl_EmpenhadoLiquido;Vl_Liquidado;Vl_Pago
2024;2024;173867;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1526;Ampliação, Reforma e Requalificação de Equipamentos de Atenção Básica e Especialidades;0;48412761,45;0;48412761,45;48412761,45;48412761,45;48412761,45;44588341,19;37980369,96
2024;2024;169110;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;5204;"Avança Saúde SP - Ampliação, Reforma e Requalificação de Equipamentos de Saúde";1000;0;0;0;1000;0;0;0;0
2024;2024;169112;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;5204;"Avança Saúde SP - Ampliação, Reforma e Requalificação de Equipamentos de Saúde";1000;0;0;0;1000;0;0;0;0
2024;2024;171048;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1535;Construção e Implantação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;6272100;0;0;0;6272100;5962034,4;5962034,4;5672100;5542281,56
2024;2024;180469;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1535;Construção e Implantação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;6000000;0;6000000;6000000;6000000;6000000;5959580,83;5959580,83
2024;2024;173864;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1535;Construção e Implantação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;26949974,04;19873705,71;7076268,33;7076268,33;7076268,33;7076268,33;6865024,33;6375504,5
2024;2024;173888;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1536;Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;2009036,89;0;2009036,89;2009036,89;2009036,89;2009036,89;2009036,89;2009036,89
2024;2024;173887;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1536;Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;0;0;0;0;0;0;0;0
2024;2024;173866;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1536;Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;14678022,34;0;14678022,34;14678022,34;14438197,21;14438197,21;13472633,25;11651944,37
2024;2024;171049;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1536;Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;9178594;0;2009036,89;-2009036,89;7169557,11;7156399,63;7156399,63;6343454,41;6343454,41
2024;2024;180470;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1536;Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;4883462,37;0;4883462,37;4883462,37;4616342,57;4616342,57;4616342,57;3314122,8
2024;2024;173865;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3026;Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência;1536;Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospitalar e de Urgência e Emergência;0;40983806,23;0;40983806,23;40983806,23;40357138,88;40357138,88;36970914,26;33307867,62
2024;2024;180350;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;15;Urbanismo;451;Infra-Estrutura Urbana;3022;Requalificação e Promoção da Ocupação dos Espaços Públicos;1170;Intervenção, Urbanização e Melhoria de Bairros - Plano de Obras das Subprefeituras;0;0;0;0;0;0;0;0;0
2024;2024;173455;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;15;Urbanismo;451;Infra-Estrutura Urbana;3022;Requalificação e Promoção da Ocupação dos Espaços Públicos;1170;Intervenção, Urbanização e Melhoria de Bairros - Plano de Obras das Subprefeituras;0;0;0;0;0;0;0;0;0
2024;2024;173457;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;15;Urbanismo;451;Infra-Estrutura Urbana;3022;Requalificação e Promoção da Ocupação dos Espaços Públicos;1170;Intervenção, Urbanização e Melhoria de Bairros - Plano de Obras das Subprefeituras;0;20000000;0;20000000;20000000;20000000;20000000;19984307,25;19984307,25
2024;2024;173800;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;15;Urbanismo;452;Serviços Urbanos;3022;Requalificação e Promoção da Ocupação dos Espaços Públicos;1137;Pavimentação e Recapeamento de Vias;0;42000000;0;42000000;42000000;42000000;42000000;42000000;42000000
2024;2024;171050;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;15;Urbanismo;452;Serviços Urbanos;3022;Requalificação e Promoção da Ocupação dos Espaços Públicos;1137;Pavimentação e Recapeamento de Vias;43991000;0;42000000;-42000000;1991000;0;0;0;0
2024;2024;169113;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;451;Infra-Estrutura Urbana;3002;Acesso à Moradia Adequada;3357;Urbanização de Favelas;1000;0;0;0;1000;0;0;0;0
2024;2024;167099;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;482;Habitação Urbana;3002;Acesso à Moradia Adequada;3340;Programa Pode Entrar;1000;0;0;0;1000;0;0;0;0
2024;2024;167101;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;482;Habitação Urbana;3002;Acesso à Moradia Adequada;3354;Construção de Unidades Habitacionais;1000;0;0;0;1000;0;0;0;0
2024;2024;171051;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;482;Habitação Urbana;3002;Acesso à Moradia Adequada;3356;Regularização Fundiária;34985177;0;20000000;-20000000;14985177;14963773,14;14963773,14;14842626,58;14828557,72
2024;2024;173960;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;482;Habitação Urbana;3002;Acesso à Moradia Adequada;3356;Regularização Fundiária;0;10000000;0;10000000;10000000;9968965,45;9968965,45;6827361,22;6827361,22
2024;2024;171052;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;482;Habitação Urbana;3002;Acesso à Moradia Adequada;3356;Regularização Fundiária;10000000;0;10000000;-10000000;0;0;0;0;0
2024;2024;168667;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;16;Habitação;482;Habitação Urbana;3005;Promoção da Sustentabilidade Ambiental;3355;Execução do Programa de Mananciais;1000;0;0;0;1000;0;0;0;0
2024;2024;169114;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;26;Transporte;453;Transportes Coletivos Urbanos;3009;Melhoria da Mobilidade Urbana Universal;1099;Implantação e Construção de Corredores de Ônibus;1000;0;0;0;1000;0;0;0;0
2024;2024;169115;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;26;Transporte;785;Transportes Especiais;3009;Melhoria da Mobilidade Urbana Universal;1097;Construção de Ciclovias, Ciclofaixas e Ciclorrotas;1000;0;0;0;1000;0;0;0;0
2024;2024;169116;Direta;8;FMID;Fundo Municipal do Idoso;8;Assistência Social;241;Assistência ao Idoso;3007;Promoção dos Direitos da População Idosa;2813;Ações Permanentes de Promoção dos Direitos da População Idosa;11678009;0;0;0;11678009;4565535,26;4565535,26;4565535,26;4565535,26
2024;2024;170510;Direta;8;FMID;Fundo Municipal do Idoso;14;Direitos da Cidadania;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2803;Manutenção e Operação dos Conselhos e Espaços Participativos Municipais;1000;0;0;0;1000;0;0;0;0
2024;2024;180932;Direta;8;FMID;Fundo Municipal do Idoso;14;Direitos da Cidadania;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2803;Manutenção e Operação dos Conselhos e Espaços Participativos Municipais;0;0;0;0;0;0;0;0;0
2024;2024;170299;Direta;8;FMID;Fundo Municipal do Idoso;14;Direitos da Cidadania;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2803;Manutenção e Operação dos Conselhos e Espaços Participativos Municipais;100000;0;0;0;100000;0;0;0;0
2024;2024;170300;Direta;8;FMID;Fundo Municipal do Idoso;14;Direitos da Cidadania;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2803;Manutenção e Operação dos Conselhos e Espaços Participativos Municipais;10000;0;0;0;10000;0;0;0;0
2024;2024;169117;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2131;Suporte e Manutenção da Coordenação de Imprensa;10000000;0;0;0;10000000;8518149,32;8518149,32;8518149,32;8518149,32
2024;2024;173216;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2131;Suporte e Manutenção da Coordenação de Imprensa;0;0;0;0;0;0;0;0;0
2024;2024;173786;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2131;Suporte e Manutenção da Coordenação de Imprensa;0;7000000;0;7000000;7000000;4200000;4200000;3804545,19;3804545,19
2024;2024;174517;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2131;Suporte e Manutenção da Coordenação de Imprensa;0;24000000;3500000;20500000;20500000;19170860,27;19170860,27;16368024,65;16368024,65
2024;2024;180675;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;0;27820000;0;27820000;27820000;27504625;27504625;27504625;27504625
2024;2024;169118;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;3500000;0;0;0;3500000;3324168,53;3324168,53;3324168,53;3324168,53
2024;2024;173266;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;0;140434769,5;12796940;127637829,5;127637829,5;126855638,5;126855638,5;121854984,7;121854984,7
2024;2024;175209;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;0;1950000;0;1950000;1950000;1950000;1950000;1950000;1950000
2024;2024;180370;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;0;65402636,29;0;65402636,29;65402636,29;65402598,83;65402598,83;65402598,83;65402598,83
2024;2024;182616;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;0;1000000;0;1000000;1000000;1000000;1000000;469993,37;469993,37
2024;2024;182615;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3015;Promoção da Cidade como Referência Global e Destino Turístico;2118;Promoção de Campanhas e Eventos de Interesse do Município;0;0;0;0;0;0;0;0;0
2024;2024;169119;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;250000;0;197380;-197380;52620;23786,41;23786,41;23786,41;23786,41
2024;2024;169120;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;260000;0;28956;-28956;231044;81160,16;81160,16;30266,17;30266,17
2024;2024;169121;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;300000;0;180382;-180382;119618;56832,01;56832,01;56832,01;56832,01
2024;2024;182660;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;33000;0;33000;33000;29000;29000;29000;29000
2024;2024;169122;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2429;Contraprestação de Parceria Público-Privada (PPP);1000;0;0;0;1000;0;0;0;0
2024;2024;173308;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;126;Tecnologia da Informação;3024;Suporte Administrativo;2171;Manutenção e Operação de Sistemas de Informação e Comunicação;0;353831,58;0;353831,58;353831,58;353831,58;353831,58;353831,58;353831,58
2024;2024;170307;Direta;11;SGM;Secretaria do Governo Municipal;10;Saúde;122;Administração Geral;3005;Promoção da Sustentabilidade Ambiental;4851;Contraprestação de Parceria Público-Privada (PPP) - Geradores Urbanos;1000;0;1000;-1000;0;0;0;0;0
2024;2024;169125;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2153;Publicação de Editais e Outras Publicações Legais e de Interesse do Município;1100000;0;294165;-294165;805835;765543;765543;705284,84;705284,84
2024;2024;173218;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2153;Publicação de Editais e Outras Publicações Legais e de Interesse do Município;0;115000;0;115000;115000;115000;115000;35154,84;35154,84
2024;2024;169126;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2402;Pesquisa de Satisfação do Cidadão em Relação aos Serviços, Políticas e Programas;1000000;0;0;0;1000000;785755,11;785755,11;697500;697500
2024;2024;173217;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2402;Pesquisa de Satisfação do Cidadão em Relação aos Serviços, Políticas e Programas;0;0;0;0;0;0;0;0;0
2024;2024;169127;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2421;Publicidade Institucional;40110000;0;600000;-600000;39510000;39399500;39399500;37769004,63;37769004,63
2024;2024;173215;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2421;Publicidade Institucional;0;55021909,75;29515000;25506909,75;25506909,75;25506909,75;25506909,75;8940383,3;8940383,3
2024;2024;182877;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2421;Publicidade Institucional;0;2404215,25;0;2404215,25;2404215,25;2404215,25;2404215,25;0;0
2024;2024;173785;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2421;Publicidade Institucional;0;50000000;0;50000000;50000000;50000000;50000000;49909122,07;49909122,07
2024;2024;174521;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2421;Publicidade Institucional;0;19500000;0;19500000;19500000;19396872,25;19396872,25;15226747,8;15226747,8
2024;2024;174513;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2421;Publicidade Institucional;0;17026104,41;0;17026104,41;17026104,41;17026104,41;17026104,41;17026104,41;17026104,41
2024;2024;169128;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2430;Publicidade de Utilidade Pública;1000;0;1000;-1000;0;0;0;0;0
2024;2024;181519;Direta;11;SGM;Secretaria do Governo Municipal;24;Comunicações;131;Comunicação Social;3012;Participação, Transparência e Controle Social da Administração Pública;2430;Publicidade de Utilidade Pública;0;30000000;0;30000000;30000000;29917274,99;29917274,99;29913824,99;29913824,99
2024;2024;167095;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;121;Planejamento e Orçamento;3024;Suporte Administrativo;2470;Ações de Planejamento, Monitoramento e Avaliação de Políticas Públicas;10000000;0;637601,04;-637601,04;9362398,96;9001063,63;9001063,63;7397844,86;7397844,86
2024;2024;173265;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;121;Planejamento e Orçamento;3024;Suporte Administrativo;2470;Ações de Planejamento, Monitoramento e Avaliação de Políticas Públicas;0;14437736,38;0;14437736,38;14437736,38;14355467,2;14355467,2;12555573,76;12555573,76
2024;2024;167096;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;121;Planejamento e Orçamento;3024;Suporte Administrativo;2470;Ações de Planejamento, Monitoramento e Avaliação de Políticas Públicas;1000;0;1000;-1000;0;0;0;0;0
2024;2024;169129;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2404;Ações do Programa Agentes de Governo Aberto;0;0;0;0;0;0;0;0;0
2024;2024;169130;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2404;Ações do Programa Agentes de Governo Aberto;0;0;0;0;0;0;0;0;0
2024;2024;169131;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3012;Participação, Transparência e Controle Social da Administração Pública;2404;Ações do Programa Agentes de Governo Aberto;0;0;0;0;0;0;0;0;0
2024;2024;169133;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;49419644;0;0;0;49419644;49418944,47;49418944,47;49418944,47;49418944,47
2024;2024;173283;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;6312617,79;0;6312617,79;6312617,79;6259412,62;6259412,62;6259412,62;6259412,62
2024;2024;169134;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;527685;0;0;0;527685;317227,79;317227,79;260911,29;260911,29
2024;2024;169135;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;1000;0;0;0;1000;0;0;0;0
2024;2024;169136;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;330000;0;30274,8;-30274,8;299725,2;299725,2;299725,2;299725,2;299725,2
2024;2024;169137;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;1000;0;0;0;1000;0;0;0;0
2024;2024;169138;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;1000;0;0;0;1000;0;0;0;0
2024;2024;169139;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;300000;0;150752;-150752;149248;97236,88;97236,88;97236,88;97236,88
2024;2024;182840;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;28025;0;28025;28025;9160,98;9160,98;9160,98;9160,98
2024;2024;169140;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;350000;0;176027,11;-176027,11;173972,89;169932,07;169932,07;141662,07;141662,07
2024;2024;175497;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;175045,64;0;175045,64;175045,64;95825,87;95825,87;54664,54;54664,54
2024;2024;169141;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;550000;0;0;0;550000;482555,29;482555,29;431891,3;431891,3
2024;2024;180915;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;198766,73;0;198766,73;198766,73;79532,12;79532,12;37644,82;37644,82
2024;2024;169142;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;1000;0;1000;-1000;0;0;0;0;0
2024;2024;169938;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;1000;0;1000;-1000;0;0;0;0;0
2024;2024;169143;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;20491547;0;11672250,96;-11672250,96;8819296,04;8761322,86;8761322,86;7907500,18;7858865,76
2024;2024;175155;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;66329,4;0;66329,4;66329,4;25710;25710;25710;7710
2024;2024;175414;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;6840000;0;6840000;6840000;5342323,96;5342323,96;5235644,47;5235208,29
2024;2024;169144;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;5000000;0;0;0;5000000;4999400,31;4999400,31;4999400,31;4999400,31
2024;2024;173284;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;637371,94;0;637371,94;637371,94;591120,1;591120,1;591120,1;591120,1
2024;2024;174648;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;2000;0;2000;2000;991,61;991,61;991,61;991,61
2024;2024;180493;Direta;11;SGM;Secretaria do Governo Municipal;4;Administração;122;Administração Geral;3024;Suporte Administrativo;2100;Administração da Unidade;0;419436;0;419436;419436;419436;419436;419436;419436
